Year,Term,YearTerm,Subject,Number,Course Title,Primary Instructor,Aplus,A,Aminus,Bplus,B,Bminus,Cplus,C,Cminus,Dplus,D,Dminus,F,W,Average GPA
2016,Fall,2016-fa,AAS,100,Intro Asian American Studies,"Atienza, Paul Michael L",6,33,5,1,6,2,2,2,2,0,0,1,1,0,3.59
2016,Fall,2016-fa,AAS,100,Intro Asian American Studies,"Chung, Ga Young",17,27,4,6,1,0,1,1,1,0,0,0,0,0,3.81
2016,Fall,2016-fa,AAS,100,Intro Asian American Studies,"Lee, Jean Y",15,10,13,6,2,1,2,0,1,1,0,0,0,0,3.69
2016,Fall,2016-fa,AAS,246,Asian American Youth in Film,"Kwon, Soo Ah",0,27,4,0,1,0,0,0,0,0,0,0,0,0,3.98
2016,Fall,2016-fa,AAS,258,Muslims in America,"Rana, Junaid",0,22,5,1,0,0,0,0,0,0,0,0,0,1,3.99
2016,Fall,2016-fa,ABE,100,Intro Agric & Biological Engrg,"Green, Angela R",0,30,0,0,11,0,0,1,0,0,0,0,0,0,3.78
2016,Fall,2016-fa,ABE,223,ABE Principles: Machine Syst,"Grift, Tony E",1,28,2,1,6,2,0,0,0,0,0,0,0,0,3.84
2016,Fall,2016-fa,ABE,224,ABE Principles: Soil & Water,"Bhattarai, Rabin",1,33,9,3,2,0,0,0,0,0,0,0,1,0,3.88
2016,Fall,2016-fa,ABE,430,Project Management,"Davidson, Paul C",0,104,7,0,1,0,0,0,0,0,0,0,1,0,3.96
2016,Fall,2016-fa,ABE,466,Engineering Off-Road Vehicles,"Hansen, Alan C",3,6,8,7,2,0,2,0,0,0,0,0,0,0,3.75
2016,Fall,2016-fa,ABE,488,Bioprocessing Biomass for Fuel,"Singh, Vijay",6,14,4,2,3,0,0,0,0,0,0,0,0,0,3.88
2016,Fall,2016-fa,ACCY,200,Fundamentals of Accounting,"Silhan, Peter A",4,93,57,32,57,22,20,17,4,3,4,2,1,0,3.48
2016,Fall,2016-fa,ACCY,201,Accounting and Accountancy I,"Chen, Monica S",9,4,11,4,6,6,7,5,4,0,6,0,5,0,2.80
